Title,Year,Certificate,Rating
The Lighthouse,2024.0,18,7.4
Thanksgiving,2024.0,R,6.3
The Age of Adaline,2024.0,13,7.2
Beverly Hills Cop,2024.0,A,7.4
Bones and All,2024.0,18,6.8
Doctor Strange in the Multiverse of Madness,2024.0,UA,6.9
She's Out of My League,2024.0,UA 13+,6.4
The Shining,2024.0,A,8.4
The Pianist,2024.0,13,8.5
After,2024.0,A,5.3
Pretty Woman,2024.0,A,7.1
Smile,1985.0,A,6.5
Die Hard,1985.0,A,8.2
The Martian,1985.0,UA,8.0
The Truman Show,1985.0,U,8.2
Love Actually,1985.0,A,7.6
Salò o le 120 giornate di Sodoma,1985.0,A,5.8
Brokeback Mountain,1985.0,A,7.7
Saw X,1985.0,R,6.6
American Pie,1985.0,18,7.0
Guardians of the Galaxy,1985.0,UA,8.0
Taxi Driver,1985.0,A,8.2
Unfaithful,1985.0,A,6.7
Margin Call,1985.0,18,7.1
Lola,1985.0,none,3.7
X: First Class,1985.0,UA,7.7
Empire of the Sun,1985.0,U,7.7
Meg 2: The Trench,1985.0,PG-13,5.0
The Big Short,1985.0,A,7.8
Divergent,1985.0,UA,6.6
The Marvels,1985.0,PG-13,5.5
Grown Ups,1985.0,A,6.0
Damaged,1985.0,R,4.6
All Good Things,1985.0,R,6.3
Baywatch,1985.0,A,5.5
Thor: Love and Thunder,1985.0,UA,6.2
Godzilla,1985.0,UA,6.4
The Little Mermaid,1985.0,U,7.2
Havoc,1985.0,R,5.5
Black Swan,1985.0,A,8.0
The King's Man,1985.0,15+,6.3
The Northman,1985.0,R,7.0
Crew,1985.0,none,6.4
The Breakfast Club,1985.0,UA,7.8
Highlander,1985.0,R,7.0
The Sixth Sense,1985.0,A,8.2
Harry Potter and the Goblet of Fire,1985.0,UA,7.7
Batman Begins,1985.0,UA,8.2
Fair Play,1985.0,R,6.4
Mulholland Dr.,1985.0,UA,7.9
A Clockwork Orange,1985.0,A,8.3
X-Men: Days of Future Past,1985.0,UA,7.9
Airplane!,1985.0,U,7.7
American History X,1985.0,R,8.5
The Greatest Showman,1985.0,UA,7.5
Vash,1985.0,A,8.1
Knox Goes Away,1985.0,R,6.9
Almost Famous,1985.0,A,7.9
One Flew Over the Cuckoo's Nest,1985.0,A,8.7
Ah-ga-ssi,2007.0,A,8.1
Nymphomaniac: Vol. I,2007.0,Not Rated,6.9
Jumanji: Welcome to the Jungle,2007.0,UA,7.0
The Running Man,2007.0,A,6.6
The Last Duel,2007.0,A,7.4
The Fallout,2007.0,A,7.0
Solo: A Star Wars Story,2007.0,UA,6.9
Green Book,2007.0,UA,8.2
Avengers: Infinity War,2007.0,UA,8.4
Sound of Freedom,2007.0,PG-13,7.6
Donnie Darko,2007.0,UA,8.0
North by Northwest,2007.0,U,8.3
Lolita,2007.0,All,6.8
A Beautiful Mind,2007.0,UA,8.2
Glass Onion,2007.0,UA 16+,7.1
Mad Max Beyond Thunderdome,2007.0,U,6.2
Kingsman: The Secret Service,2007.0,A,7.7
Kung Fu Panda,2007.0,U,7.6
Bound by Honor,2007.0,R,7.9
Knives Out,2007.0,UA,7.9
Ocean's Eight,2007.0,UA,6.3
Incendies,2007.0,18,8.3
Kaibutsu,2007.0,PG-13,7.8
How to Have Sex,2007.0,none,6.5
The VVitch: A New-England Folktale,2007.0,R,7.0
Army of the Dead,2007.0,A,5.8
Inside Out,2007.0,U,8.1
"Il buono, il brutto, il cattivo",2007.0,A,8.8
Wrath of Man,2007.0,16,7.1
Pearl Harbor,2007.0,UA,6.2
The Conjuring,2007.0,A,7.5
Totally Killer,2007.0,R,6.5
2001: A Space Odyssey,2007.0,U,8.3
Superbad,2007.0,A,7.6
The Hangover,2007.0,UA,7.7
Harry Potter and the Deathly Hallows - Part 2,2007.0,UA,8.1
Asphalt City,2007.0,R,6.1
Ratatouille,2007.0,U,8.1
Lady Bird,2007.0,A,7.4
Tenet,2007.0,UA,7.3
Idi i smotri,2007.0,A,8.4
